January,62.75,82.07,76.02,70.36,49.47
February,67.01,91.55,83.95,77.59,50.06
March,75.25,103.24,94.73,86.17,55.76
April,75.34,101.79,94.71,87.45,55.95
May,73.30,99.14,92.97,86.31,53.62
June,69.91,96.01,89.15,82.94,50.67
July,68.36,92.45,86.65,78.94,50.07
August,74.10,103.30,94.43,90.25,53.78
September,75.55,102.21,95.39,92.20,55.70
October,73.89,97.20,91.58,85.78,56.21
November,70.10,92.38,84.72,77.46,55.48
December,72.83,97.06,89.18,80.17,56.46
,,,,,
January,69.38,91.55,85.93,75.59,52.83
February,70.55,94.21,89.21,79.39,51.87
March,72.47,99.36,93.56,83.83,51.37
April,71.45,97.27,91.96,81.58,50.93
May,67.47,91.51,87.88,75.56,47.06
June,65.58,90.18,85.78,72.44,45.38
July,64.31,88.02,83.24,69.24,45.38
August,63.34,88.09,81.77,68.15,44.90
September,66.86,91.95,87.06,75.08,46.66
October,62.83,82.88,79.77,65.91,45.88
November,64.30,82.43,78.20,66.03,50.40
December,63.07,79.70,75.35,62.14,50.79
,,,,,
January,61.12,78.40,73.41,62.03,48.83
February,55.51,71.75,68.45,58.05,42.57
March,56.48,73.67,70.37,59.60,42.59
April,53.64,69.55,65.92,54.94,41.36
May,49.27,64.93,60.86,51.11,37.68
June,48.13,64.10,59.09,49.08,37.17
July,48.70,62.50,58.20,48.53,39.19
August,45.89,56.49,52.93,46.40,38.85
September,47.11,56.18,53.23,49.43,40.98
October,52.88,64.77,61.57,59.64,44.19
November,57.49,71.72,67.31,64.64,47.67
December,64.00,81.52,77.19,74.39,50.81
,,,,,
January,58.14,71.61,69.39,67.13,46.90
February,57.32,72.45,67.65,66.34,46.99
March,54.76,67.07,63.62,62.60,45.90
April,51.38,59.77,57.87,54.92,44.88
May,54.18,67.35,62.18,57.26,46.17
June,54.54,68.13,62.50,55.70,46.57
July,60.61,76.40,71.81,65.76,49.40
August,67.69,84.18,76.92,73.25,58.46
September,71.64,86.58,80.77,75.58,62.50
October,67.78,83.02,76.64,71.65,58.92
November,70.03,85.56,78.60,74.20,61.46
December,71.50,87.33,81.19,74.51,61.81
,,,,,
January,69.17,85.85,78.95,71.42,59.39
February,72.37,93.04,83.93,80.14,60.80
March,76.11,93.23,87.06,84.72,65.16
April,81.19,97.53,90.57,87.14,71.82
May,108.42,133.90,121.88,118.37,94.95
June,127.91,151.85,143.43,136.43,112.38
July,191.44,222.75,218.89,211.81,164.00
