municipality,state,Code,Latitude,Longitude,Altitude,id_station
BRASILIA , DF,83377,-15.78,-47.92,1159.54,A001
GOIANIA , GO,83423,-16.66,-49.25,741.48,A002
PALMAS , TO,83033,-10.19,-48.3,280,A009
SAO SIMAO , SP,83669,-21.48,-47.55,617.39,A011
ARAGARCAS , GO,83368,-15.9,-52.23,345,A013
GOIAS , GO,83374,-15.91,-50.13,512.22,A014
JATAI , GO,83464,-17.91,-51.71,662.86,A016
POSSE , GO,83332,-14.1,-46.36,825.64,A017
PEIXE , TO,83228,-12.01,-48.35,242.49,A018
PEDRO AFONSO , TO,82863,-8.96,-48.18,187,A020
ARAGUAINA , TO,82659,-7.2,-48.2,228.52,A021
RIO VERDE , GO,83470,-17.8,-50.91,774.62,A025
CATALAO , GO,83526,-18.18,-47.95,840.47,A034
ITUMBIARA , GO,83523,-18.41,-49.21,449,A035
MANAUS , AM,82331,-3.1,-60.01,61.25,A101
RIO BRANCO , AC,82915,-9.96,-67.8,160,A104
CRUZEIRO DO SUL , AC,82704,-7.6,-72.66,170,A108
EIRUNEPE , AM,82610,-6.66,-69.86,104,A109
LABREA , AM,82723,-7.25,-64.83,61,A111
COARI , AM,82425,-4.08,-63.13,46,A117
ITACOATIARA , AM,82336,-3.13,-58.43,40,A121
PARINTINS , AM,82240,-2.63,-56.73,29,A123
BARCELOS , AM,82113,-0.96,-62.91,40,A128
MANICORE , AM,82533,-5.81,-61.3,50,A133
BOA VISTA , RR,82024,2.82,-60.66,83,A135
BELEM , PA,82191,-1.43,-48.43,10,A201
SAO LUIS , MA,82280,-2.53,-44.21,50.86,A203
BALSAS , MA,82768,-7.53,-46.03,259.38,A204
CAROLINA , MA,82765,-7.33,-47.46,192.83,A205
CHAPADINHA , MA,82382,-3.73,-43.35,103.5,A206
SAO FELIX DO XINGU , PA,82668,-6.63,-51.96,206,A216
TURIACU , MA,82198,-1.56,-45.36,44.06,A219
BACABAL , MA,82460,-4.21,-44.76,25.07,A220
BARRA DO CORDA , MA,82571,-5.5,-45.23,153,A221
COLINAS , MA,82676,-6.03,-44.25,179.75,A222
ALTO PARNAIBA , MA,82970,-9.1,-45.93,285.05,A223
IMPERATRIZ , MA,82564,-5.53,-47.48,123.3,A225
SOURE , PA,82141,-0.73,-48.51,10.49,A227
